FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel
"SS 2009","Express","Daewoo Shipbuilding & Marine","Wartsila CME Zhenjiang","EXMAR","Belgium","10 March 2009","291,0m","","","100300","1","117,300tonnes","Cross compound, marine steam turbine","UA 360"
"SS 2009","Forest Venus","Imabari Shipbuilding Co,, Ltd (Marugame Shipyard), Japan","Hyundai","NYK Line","Japan","11 May 2009","209,94m","","9477933","49549","1","","2 stroke cycle, single acting, direct reversible, crosshead diesel engine with turbocharger","6S50MC-C (Mark 7)"
"SS 2009","Frecciamare","Deniz Industry","Nakashima Propeller Co,, Ltd","Ciane Arapo SpA, Italy","N/A","17 April 2009","84,975m","","9479618","2093","1","","Mitsubishi","S12R-MTK"
"SS 2009","GDF Suez Neptune","SPP Shipbuilding, Korea Vessel’s name: ,,,,,,,,,,,,,,,,,,,,Handy Wind","HRP","Metro Star","Korea","30 November 2009","180,00m","","9450703","23400","Nil","","MAN B&W","5S50MC-C (MK7)"
"SS 2009","Jose María Entrecanales","NAVANTIA Astillero","Silla Metal","Compañía","Spain","15 July 2009","209,43m","","9398527","30998","Nil","22,140tonnes","",""
"SS 2009","Leale","Cantiere Navale De Poli, Venice","MAN B&W Diesel","Elbana di Navigazione","Italy","January 2010","112,00m","","9404637","","","","MAN B&W","8L 32/40"
"SS 2009","LNG Barka","Kawasaki Shipbuilding","Rolls Royce Marine","NYK LNG (Atlantic) Limited","Japan","","289,50m","","9341299","121514","2","","Kawasaki Heavy Industries Ltd","UA-400 steam turbine"
"SS 2009","Maas Viking","Odense Steel Shipyard Ltd","Nakashima Propeller Co,, Ltd","EPIC Shipping Ltd /NorfolkLine","Germany","29 December, 2008","193,30m","","9457165","29004","Nil","20,685tonnes","MAK","MAK 9M43C"
"SS 2009","Maersk Weymouth","CSBC Corporation, Taiwan","MAN Diesel","White Fig Shipping S,A","Taiwan","28 May 2009","175,10m","","9410260","18123","9","","MAN B&W","7S60MC-C"
"SS 2009","Mikela P","Hyundai Samho Heavy","CSBC/ HHI CO,,LTD","Daniel Marine Corp","Korea","October 2009","274,34m","","9440382","81347","3","183,839tonnes","JRC","JMA-9132-SA/JMA-9122-6XA"
"SS 2009","MSC Beatrice","Samsung Heavy Industries","MAN Diesel","Mediterranean","Switzerland","6 November 2009","366,1m","","9399014","151560","4","","","12K98MC-C7"
"SS 2009","Naftocement XVIII","Samsung Heavy","Samsung, MMG","EBX Group","South Korea","4 March 2009","271,8m","","9399832","94626","1","184,800tonnes at 18,2m draft","MAN Diesel Vertical, 4 stroke, V-engine","12V32/40"
"SS 2009","Nordic Agnetha","Hyundai Mipo Dockyard","Rolls-Royce","Seaarland","Korea","15 January 2010","184,21m","","9422639","23224","1","","MAN B&W","6S46MC-C7"
"SS 2009","Norgas Innovation","Skaugen Marine Construction (Taizhou Wuzhou Shipbuilding/ Shenghui Gas & Chemical Systems)","Hyundai Heavy","Singco Gas Pte Ltd/ Norgas Carriers","Denmark / Norway","May, 2009","137,10m","","9378278","10060","Nil","","MaK","7M43C"
"SS 2009","North Ocean 103","Metalships & Docks, Spain","Scana-Volda","Technip Norway","Norway","January 2010","137,50m","","9397951","11400","2","","Wärtsilä Diesel-Electric","9R32 Genset (including Alconza NIR 7186A-10LW generator)"
"SS 2009","Northern Expedition","Flensburger-Schiffbau-","Rolls-Royce","British Columbia","Germany","8 September 2009","151,78m","","9408413","17729","","8099tonnes","",""
"SS 2009","Oasis of the Seas","STX Europe / Turku, Finland","MaK medium-speed diesel","Royal Caribbean International","Finland","09 March 2009","361m","","9383936","225282","Nil","","Wärtsilä diesel","46D"
"SS 2009","OSA Goliath","STX Offshore & Shipbuilding Co,, Ltd","ABB Azipod","Primorsk","Korea","22 April 2009","183,00m","","9396933","29967","2","35,380tonnes","MAN B&W","6S50MC-C MKII"
"SS 2009","Seabourn Odyssey","Mitsubishi Heavy","Rolls-Royce","MISC Berhad","Japan","18 June 2009","294,6m","","9331660","107633","Nil","","Wärtsilä","12V50DF and 6L50DF"
"SS 2009","Star Kirkenes","Hyundai Mipo","ABB","Grieg Shipping","Korea","1 January 2009","208,73m","","9396127","37158","2","","MAN B&W","5S60MC-C8"
"SS 2009","Stolt Island","STX Norway Florø AS","Hyundai Heavy Industries","Stolt Tankers B,V","Norway","25 June, 2009","182,72m","","9414058","25841","2","54,736tonnes","MAN","7S50 MC-C"
"SS 2009","STX Freesia","STX Offshore &","MAN Alpha","STX Pan Ocean Co,, Ltd","Republic of Korea","2 March 2009","292,0m","","","95047","Nil","207,383tonnes","MAN B&W Diesel AG","STX MAN B&W 6S70MC-C(MK VII)"
"SS 2009","STX Rose1","STX Offshore &","STX Shipbuilding Co,, Ltd / Hyundai Heavy Industries Co,, Ltd","STX Pan Ocean Co,, Ltd","Korea","23 September 2009","174,2m","","","17824","Nil","26,756tonnes","MAN B&W Diesel","STX MAN B&W 8L32/40"
"SS 2009","Tirranna","Daewoo Shipbuilding &","Hae Yang Metal Co,, Ltd","Wilhelmsen Lines","Republic of Korea","30 December 2008","231,6m","","9377523","71700","3","42,300tonnes at design draft","MAN","B&W8S60ME-C"
"SS 2009","Viking Poseidon","Ulstein Verft AS","DSME / HHI","Eidesvik OCV KS/ Eidesvik AS","Norway","19 May 2009","130m","","9413535","11719","2","18,256tonnes","",""
"SS 2009","Zenovia Lady","Sungdong Shipbuilding &","Rolls Rolls Azipull 120","Byzantine","Republic of Korea","13 January 2009","247,9m","","9389277","62200","2","","MAN B&W","7S60ME-C"
